priority_bucket,suggested_action,holdet_player_id,player_name,team_id,team_name,position,price,is_out,reason,possible_duplicate_or_mismatch
depth_or_watchlist,add_to_player_pool_review,50273,Facundo Medina,ARG,Argentina,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50313,Florian Wiegele,AUT,Østrig,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50043,Gedeon Kalulu,COD,Congo DR,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50267,Guus Til,NED,Holland,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50250,Haji Wright,USA,USA,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50303,Harry Souttar,AUS,Australien,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49194,Hugo Larsson,SWE,Sverige,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50278,Iqraam Rayners,RSA,Sydafrika,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50304,Jackson Irvine,AUS,Australien,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50317,Jaouen Hadjam,ALG,Algeriet,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50295,Jindrich Stanek,CZE,Tjekkiet,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50251,Joe Scally,USA,USA,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49297,Joel Monteiro,SUI,Schweiz,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50268,Justin Kluivert,NED,Holland,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49445,Logan Rogerson,NZL,New Zealand,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49448,Lovro Majer,CRO,Kroatien,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50286,Luis Romo,MEX,Mexico,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50269,Marten de Roon,NED,Holland,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50287,Mateo Chavez,MEX,Mexico,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50270,Mats Wieffer,NED,Holland,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50318,Melvin Feycal Mastil,ALG,Algeriet,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50314,Michael Svoboda,AUT,Østrig,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50298,Moïse Bombito,CAN,Canada,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50320,Nabil Bentaleb,ALG,Algeriet,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49622,Naim Sliti,TUN,Tunesien,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49669,Noureddine Farhati,TUN,Tunesien,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50321,Oussama Benbout,ALG,Algeriet,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50315,Paul Wanner,AUT,Østrig,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50316,Sasa Kalajdzic,AUT,Østrig,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49849,Shuto Machino,JPN,Japan,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50300,Stephen Eustaquio,CAN,Canada,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49904,Tommy Conway,SCO,Skotland,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50276,Valentin Barco,ARG,Argentina,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49927,Viljar Myhra,NOR,Norge,GK,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49928,Vincent Sierro,SUI,Schweiz,MID,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49947,Williot Swedberg,SWE,Sverige,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49963,Yassine Meriah,TUN,Tunesien,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49969,Yerson Mosquera,COL,Colombia,DEF,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49979,Youssef Msakni,TUN,Tunesien,FWD,2500000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48720,Abdou Diallo,SEN,Senegal,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48739,Adrian Bajrami,SUI,Schweiz,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48754,Aissa Laidouni,TUN,Tunesien,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48760,Alaa Ghram,TUN,Tunesien,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50248,Alex Zendejas,USA,USA,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50290,Alexandr Sojka,CZE,Tjekkiet,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48799,Ali Maaloul,TUN,Tunesien,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48825,Amor Layouni,TUN,Tunesien,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48827,Andi Zeqiri,SUI,Schweiz,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48832,Andrew Irving,SCO,Skotland,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50259,Ayyoub Bouaddi,MAR,Marokko,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50254,Azarias Londono,PAN,Panama,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48890,Becir Omeragic,SUI,Schweiz,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48901,Bill Tuiloma,NZL,New Zealand,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50277,Bradley Cross,RSA,Sydafrika,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48942,Cedric Zesiger,SUI,Schweiz,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48951,Charles Vanhoutte,BEL,Belgien,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48953,Cheikh Niasse,SEN,Senegal,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,48973,Daiki Hashioka,JPN,Japan,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50255,Edgardo Farina,PAN,Panama,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49099,Felix Horn Myhre,NOR,Norge,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49107,Filip Ugrinic,SUI,Schweiz,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50260,Gessime Yassine,MAR,Marokko,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49135,Ghaith Zaalouni,TUN,Tunesien,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49179,Henry Mochizuki,JPN,Japan,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50293,Hugo Sochurek,CZE,Tjekkiet,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49220,Isaac Schmidt,SUI,Schweiz,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49222,Islam Issa,EGY,Egypten,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50297,Jacob Shaffelburg,CAN,Canada,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49247,James McGarry,NZL,New Zealand,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49296,Joel Chima Fujita,JPN,Japan,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50279,Kamogelo Sebelebele,RSA,Sydafrika,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50046,Keeto Thermoncy,HAI,Haiti,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49396,Khaled Sobhi,EGY,Egypten,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49429,Lennon Miller,SCO,Skotland,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49447,Louey Ben Farhat,TUN,Tunesien,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49453,Lucas Blondel,SUI,Schweiz,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50285,Luis Chavez,MEX,Mexico,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49470,Lukas Kelly-Heald,NZL,New Zealand,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50305,Mathew Leckie,AUS,Australien,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49623,Nampalys Mendy,SEN,Senegal,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49625,Nasser Mansy,EGY,Egypten,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49678,Odin Bjørtuft,NOR,Norge,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50280,Olwethu Makhanya,RSA,Sydafrika,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50261,Redouane Halhal,MAR,Marokko,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49791,Romeo Vermant,BEL,Belgien,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49797,Ross McCrorie,SCO,Skotland,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49808,Ryunosuke Sato,JPN,Japan,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50322,Samir Chergui,ALG,Algeriet,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50262,Samir El Mourabet,MAR,Marokko,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49828,Sayfallah Ltaief,TUN,Tunesien,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49834,Sebastian Nanasi,SWE,Sverige,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49854,Simon Sohm,SUI,Schweiz,MID,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50306,Tete Yengi,AUS,Australien,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,50256,Tomas Rodriguez,PAN,Panama,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49906,Tomoya Ando,JPN,Japan,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49950,Woobens Pacius,HAI,Haiti,FWD,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49980,Youssouf Sabaly,SEN,Senegal,DEF,2000000,,no_name_team_match,
depth_or_watchlist,add_to_player_pool_review,49983,Yuki Soma,JPN,Japan,MID,2000000,,no_name_team_match,
