player_id,player_name,team_id,start_prob,conditional_start_prob,appearance_prob,availability_prob,availability_risk,round_specific_rotation_risk,recent_starts,recent_sub_appearances,recent_unused_bench,recent_absences,injury_absences,competitive_match_starts,friendly_match_starts,post_qualification_rotation_matches,source_note,team,reason
aziz_behich__aus,Aziz Behich,AUS,0.4,0.5,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Behich not in expected XI; reduce from likely-starter range.,,
jackson_irvine__aus,Jackson Irvine,AUS,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: not treated as secure starter in expert XI; reduce elevated model signal.,,
jovo_lukic__bih,Jovo Lukic,BIH,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Lukic not in expected XI; reduce recent-match overpromotion.,,
tarik_muharemovic__bih,Tarik Muharemovic,BIH,0.4,0.5,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: not in expected XI; keep as rotation/tvivlsom starter.,,
elye_wahi__civ,Elye Wahi,CIV,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Wahi not in expected XI; reduce from likely-starter range.,,
stepan_chaloupek__cze,Stepan Chaloupek,CZE,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Chaloupek not in expected XI; recent usage likely overpromoted him.,,
nilson_angulo__ecu,Nilson Angulo,ECU,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Angulo not treated as secure starter; reduce test-match overpromotion.,,
marwan_ateya__egy,Marwan Ateya,EGY,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Ateya not clearly in expected XI; reduce elevated model signal.,,
ayyoub_bouaddi__mar,Ayyoub Bouaddi,MAR,0.35,0.45,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Bouaddi not in expected XI; clear recent-match overpromotion.,,
neil_el_aynaoui__mar,Neil El Aynaoui,MAR,0.45,0.55,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: not treated as secure starter; reduce elevated model signal.,,
kerim_alajbegovi__bih,Kerim Alajbegovic,BIH,0.4,0.5,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Alajbegovic not in expected XI; reduce recent-match overpromotion.,,
mois_s_caicedo__ecu,Moises Caicedo,ECU,0.55,0.65,,,medium_risk,medium,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: model start_prob looks high relative to expected XI; reduce but do not zero because player quality/hierarchy remains plausible.,,
zizo__egy,Ahmed Zizo,EGY,0.4,0.5,,,medium_risk,high,,,,,,,,,Manual low-priority nation audit vs Bold+ XI: Zizo not in expected XI; reduce elevated model signal.,,
kylian_mbapp__fra,Kylian Mbappe,FRA,0.95,0.98,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
harry_kane__eng,Harry Kane,ENG,0.97,0.99,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
erling_haaland__nor,Erling Haaland,NOR,0.93,0.97,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
lautaro_mart_nez__arg,Lautaro Martinez,ARG,0.62,0.75,0.95,0.98,low_risk,medium,,,,,,,,,Manual context review: Argentina striker role is shared/contested with Julian Alvarez. Downgraded from near-locked to strong but uncertain starter.,,
lionel_messi__arg,Lionel Messi,ARG,0.93,0.97,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
florian_wirtz__ger,Florian Wirtz,GER,0.94,0.97,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,0.88,0.93,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
kevin_de_bruyne__bel,Kevin De Bruyne,BEL,0.91,0.95,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
michael_olise__fra,Michael Olise,FRA,0.86,0.92,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
bukayo_saka__eng,Bukayo Saka,ENG,0.9,0.95,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
cody_gakpo__ned,Cody Gakpo,NED,0.91,0.96,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
jamal_musiala__ger,Jamal Musiala,GER,0.9,0.95,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
jeremy_doku__bel,Jeremy Doku,BEL,0.86,0.92,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
charles_de_ketelaere__bel,Charles De Ketelaere,BEL,0.82,0.88,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
darwin_nunez__uru,Darwin Nunez,URU,0.88,0.93,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
son_heung_min__kor,Heung-Min Son,KOR,0.92,0.97,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
jude_bellingham__eng,Jude Bellingham,ENG,0.93,0.97,0.98,0.98,low_risk,low,,,,,,,,,Manual context review: treated as secure premium/key starter unless new injury or expected-XI evidence says otherwise.,,
juli_n_lvarez__arg,Julian Alvarez,ARG,0.72,0.82,0.95,0.98,low_risk,medium,,,,,,,,,"Manual context review: Argentina striker role is shared/contested with Lautaro Martinez. Recent usage supports a slightly higher start chance than Lautaro, but not locked.",,
brahim_d_az__mar,Brahim Diaz,MAR,0.72,0.85,0.95,0.95,low_risk,medium,,,,,,,,,"Manual context review: Brahim Diaz appears to be an important Morocco attacking starter/RW based on recent national-team usage. Raised from low model start probability, but not treated as fully locked due to some rotation/absence context.",,
ismael_d_az__pan,Ismael Diaz,PAN,0.52,0.65,,,medium_risk,medium,,,,,,,,,,,
nathaniel_brown__ger,Nathaniel Brown,GER,0.86,0.86,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Tyskland,Manual round 2 start_prob package
cyle_christopher_larin__can,Cyle Christopher Larin,CAN,0.74,0.74,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Canada,Manual round 2 start_prob package
marko_arnautovi__aut,Marko Arnautovic,AUT,0.88,0.88,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Østrig,Manual round 2 start_prob package
arda_g_ler__tur,Arda Güler,TUR,0.95,0.95,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Tyrkiet,Manual round 2 start_prob package
ismael_saibari__mar,Ismael Saibari,MAR,0.8391,0.8961,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Marokko,Manual round 2 start_prob package
nicolas_seiwald__aut,Nicolas Seiwald,AUT,0.7843,0.7843,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Østrig,Manual round 2 start_prob package
romano_schmid__aut,Romano Schmid,AUT,0.6861,0.6861,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Østrig,Manual round 2 start_prob package
philipp_lienhart__aut,Philipp Lienhart,AUT,0.89,0.9,,,,,,,,,,,,,Manual round 2 start_prob package applied 2026-06-17; no EV rebuild yet.,Østrig,Manual round 2 start_prob package
jerome_opoku__gha,Jerome Opoku,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
kojo_peprah_oppong__gha,Kojo Peprah Oppong,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
alidu_seidu__gha,Alidu Seidu,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
caleb_yirenkyi__gha,Caleb Yirenkyi,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
gideon_mensah__gha,Gideon Mensah,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
derrick_luckassen__gha,Derrick Luckassen,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
abdul_rahman_baba__gha,Abdul Rahman Baba,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
abdul_mumin__gha,Abdul Mumin,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
jonas_adjetey__gha,Jonas Adjetey,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
marvin_senaya__gha,Marvin Senaya,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
diney_borges__cpv,Diney Borges,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
roberto_lopes__cpv,Roberto Lopes,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
wagner_pina__cpv,Wagner Pina,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
steven_moreira__cpv,Steven Moreira,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
sidny_lopes_cabral__cpv,Sidny Lopes Cabral,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
joao_paulo__cpv,Joao Paulo,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
logan_costa__cpv,Logan Costa,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
stopira__cpv,Stopira,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
kelvin_pires__cpv,Kelvin Pires,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
cj_dos_santos__cpv,CJ Dos Santos,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
marcio_rosa__cpv,Marcio Rosa,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
vozinha__cpv,Vozinha,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
benjamin_asare__gha,Benjamin Asare,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
joseph_anang__gha,Joseph Anang,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
lawrence_ati_zigi__gha,Lawrence Ati Zigi,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
elisha_owusu__gha,Elisha Owusu,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
kwasi_sibo__gha,Kwasi Sibo,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
thomas_partey__gha,Thomas Partey,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
augustine_boakye__gha,Augustine Boakye,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
kevin_lenini__cpv,Kevin Lenini Pina,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
laros_duarte__cpv,Laros Duarte,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
deroy_duarte__cpv,Deroy Duarte,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
jamiro_monteiro__cpv,Jamiro Monteiro,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
yannick_semedo__cpv,Yannick Semedo,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
telmo_arcanjo__cpv,Telmo Arcanjo,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
gilson_benchimol_tavares__cpv,Gilson Benchimol Tavares,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
dailon_livramento__cpv,Dailon Livramento,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
jovane_cabral__cpv,Jovane Cabral,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
nuno_da_costa__cpv,Nuno da Costa,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
garry_mendes_rodrigues__cpv,Garry Mendes Rodrigues,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
ryan_mendes_da_graca__cpv,Ryan Mendes Da Graça,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
h_lio_varela__cpv,Helio Varela,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
willy_semedo__cpv,Willy Semedo,CPV,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Kap Verde,team_eliminated_r32
i_aki_williams__gha,Iñaki Williams,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
prince_adu__gha,Prince Adu,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
christopher_bonsu_baah__gha,Christopher Bonsu Baah,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
brandon_thomas_asante__gha,Brandon Thomas-Asante,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
jordan_ayew__gha,Jordan Ayew,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
kamaldeen_sulemana__gha,Kamaldeen Sulemana,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
ernest_nuamah__gha,Ernest Nuamah,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
antoine_semenyo__gha,Antoine Semenyo,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
abdul_fatawu_issahaku__gha,Issahaku Abdul Fatawu,GHA,0,0,0,0,team_eliminated_r32,,,,,,,,,,Team eliminated before current knockout round; manual override to zero start/appearance.,Ghana,team_eliminated_r32
alex_sandro__bra,Alex Sandro,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
alisson_becker__bra,Alisson Becker,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
bremer__bra,Bremer,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
bruno_guimaraes__bra,Bruno Guimaraes,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
casemiro__bra,Casemiro,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
danilo_luiz_da_silva__bra,Danilo Luiz da Silva,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
danilo_dos_santos__bra,Danilo dos Santos,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
douglas_santos__bra,Douglas Santos,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
ederson__bra,Ederson,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
ederson_moraes__bra,Ederson Moraes,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
endrick__bra,Endrick,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
fabinho__bra,Fabinho,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
gabriel_magalh_es__bra,Gabriel Magalhaes,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
gabriel_martinelli__bra,Gabriel Martinelli,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
igor_thiago__bra,Igor Thiago,BRA,0,0,0,0,high_risk,high,,,,,,,,,Manual elimination override for current knockout round.,Brasilien,team_eliminated_r16
