date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,8,home,3435,3574,1:0,,FS,played,0,0,0,31/05/26 | FS | club:3435 | opponent:3574 | 1:0 | played | 45',False,False,True,45.0,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
31/03/26,7,away,3435,3299,1:0,,FS,injured,0,0,0,31/03/26 | FS | club:3435 | opponent:3299 | 1:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
28/03/26,6,away,3435,3380,1:0,,FS,injured,0,0,0,28/03/26 | FS | club:3435 | opponent:3380 | 1:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
18/11/25,8,home,3435,5233,3:0,,FS,not in squad,0,0,0,18/11/25 | FS | club:3435 | opponent:5233 | 3:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/11/25,5,home,3435,3441,2:0,,FS,not in squad,0,0,0,14/11/25 | FS | club:3435 | opponent:3441 | 2:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/10/25,7,home,3435,3439,3:2,,FS,in squad,0,0,0,14/10/25 | FS | club:3435 | opponent:3439 | 3:2 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/10/25,5,home,3435,3581,2:2,,FS,in squad,0,0,0,10/10/25 | FS | club:3435 | opponent:3581 | 2:2 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
09/09/25,2,away,3435,3505,0:2,3,FS,played,0,0,0,09/09/25 | FS | club:3435 | opponent:3505 | 0:2 | played | 45',False,False,True,45.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
07/09/25,6,away,3435,6303,0:0,,FS,in squad,0,0,0,07/09/25 | FS | club:3435 | opponent:6303 | 0:0 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/07/25,7,away,3435,3589,1:0,,EAFC,in squad,0,0,0,15/07/25 | EAFC | club:3435 | opponent:3589 | 1:0 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
12/07/25,6,neutral,3435,5598,2:0,3,EAFC,played,0,0,0,12/07/25 | EAFC | club:3435 | opponent:5598 | 2:0 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
08/07/25,5,neutral,3435,15977,6:1,,EAFC,in squad,0,0,0,08/07/25 | EAFC | club:3435 | opponent:15977 | 6:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/06/25,18,home,3435,13958,6:0,,WMQ1,not in squad,0,0,0,10/06/25 | WMQ1 | club:3435 | opponent:13958 | 6:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
05/06/25,17,away,3435,3433,0:1,,WMQ1,not in squad,0,0,0,05/06/25 | WMQ1 | club:3435 | opponent:3433 | 0:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
25/03/25,16,home,3435,3807,0:0,,WMQ1,not in squad,0,0,0,25/03/25 | WMQ1 | club:3435 | opponent:3807 | 0:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
20/03/25,15,home,3435,7214,2:0,,WMQ1,not in squad,0,0,0,20/03/25 | WMQ1 | club:3435 | opponent:7214 | 2:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
19/11/24,14,away,3435,5598,3:1,,WMQ1,not in squad,0,0,0,19/11/24 | WMQ1 | club:3435 | opponent:5598 | 3:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/11/24,13,away,3435,13958,4:0,,WMQ1,not in squad,0,0,0,15/11/24 | WMQ1 | club:3435 | opponent:13958 | 4:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/10/24,12,home,3435,3433,1:1,,WMQ1,not in squad,0,0,0,15/10/24 | WMQ1 | club:3435 | opponent:3433 | 1:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/10/24,11,away,3435,3807,2:0,,WMQ1,not in squad,0,0,0,10/10/24 | WMQ1 | club:3435 | opponent:3807 | 2:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/09/24,10,away,3435,7214,5:0,,WMQ1,not in squad,0,0,0,10/09/24 | WMQ1 | club:3435 | opponent:7214 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
05/09/24,9,home,3435,5598,7:0,,WMQ1,not in squad,0,0,0,05/09/24 | WMQ1 | club:3435 | opponent:5598 | 7:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
11/06/24,8,home,3435,13674,5:0,,WMQ1,not in squad,0,0,0,11/06/24 | WMQ1 | club:3435 | opponent:13674 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
06/06/24,7,away,3435,16423,5:0,,WMQ1,not in squad,0,0,0,06/06/24 | WMQ1 | club:3435 | opponent:16423 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
26/03/24,6,away,3435,15457,3:0,,WMQ1,not in squad,0,0,0,26/03/24 | WMQ1 | club:3435 | opponent:15457 | 3:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
21/03/24,5,home,3435,15457,1:0,,WMQ1,in squad,0,0,0,21/03/24 | WMQ1 | club:3435 | opponent:15457 | 1:0 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
03/02/24,5,away,3435,3582,1:2,,AFAC,not in squad,0,0,0,03/02/24 | AFAC | club:3435 | opponent:3582 | 1:2 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
31/01/24,4,away,3435,7214,3:1,,AFAC,not in squad,0,0,0,31/01/24 | AFAC | club:3435 | opponent:7214 | 3:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
24/01/24,3,away,3435,13958,3:1,,AFAC,not in squad,0,0,0,24/01/24 | AFAC | club:3435 | opponent:13958 | 3:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
19/01/24,2,away,3435,3560,1:2,,AFAC,not in squad,0,0,0,19/01/24 | AFAC | club:3435 | opponent:3560 | 1:2 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/01/24,1,away,3435,8778,4:2,,AFAC,not in squad,0,0,0,14/01/24 | AFAC | club:3435 | opponent:8778 | 4:2 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
01/01/24,27,home,3435,5676,5:0,,FS,not in squad,0,0,0,01/01/24 | FS | club:3435 | opponent:5676 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
21/11/23,4,away,3435,13674,5:0,,WMQ1,not in squad,0,0,0,21/11/23 | WMQ1 | club:3435 | opponent:13674 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
16/11/23,3,home,3435,16423,5:0,,WMQ1,not in squad,0,0,0,16/11/23 | WMQ1 | club:3435 | opponent:16423 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
17/10/23,23,home,3435,3670,2:0,,FS,not in squad,0,0,0,17/10/23 | FS | club:3435 | opponent:3670 | 2:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
13/10/23,23,home,3435,3510,4:1,,FS,not in squad,0,0,0,13/10/23 | FS | club:3435 | opponent:3510 | 4:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
12/09/23,21,away,3435,3381,4:2,,FS,not in squad,0,0,0,12/09/23 | FS | club:3435 | opponent:3381 | 4:2 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
09/09/23,21,away,3435,3262,4:1,,FS,not in squad,0,0,0,09/09/23 | FS | club:3435 | opponent:3262 | 4:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
20/06/23,4,home,3435,3584,4:1,,FS,not in squad,0,0,0,20/06/23 | FS | club:3435 | opponent:3584 | 4:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/06/23,30,home,3435,13951,6:0,,FS,not in squad,0,0,0,15/06/23 | FS | club:3435 | opponent:13951 | 6:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
28/03/23,7,home,3435,3816,1:2,,FS,not in squad,0,0,0,28/03/23 | FS | club:3435 | opponent:3816 | 1:2 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
24/03/23,12,home,3435,3449,1:1,,FS,not in squad,0,0,0,24/03/23 | FS | club:3435 | opponent:3449 | 1:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
05/12/22,4,away,3435,3556,2:4,9,FIWC,played,0,0,0,05/12/22 | FIWC | club:3435 | opponent:3556 | 2:4 | played | 64',False,False,True,64.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
01/12/22,3,away,3435,3375,2:1,9,FIWC,played,0,0,0,01/12/22 | FIWC | club:3435 | opponent:3375 | 2:1 | played | 45',False,False,True,45.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
27/11/22,2,away,3435,8497,0:1,4,FIWC,played,0,0,0,27/11/22 | FIWC | club:3435 | opponent:8497 | 0:1 | played | 45',False,False,True,45.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
23/11/22,1,away,3435,3262,2:1,4,FIWC,played,0,0,0,23/11/22 | FIWC | club:3435 | opponent:3262 | 2:1 | played | 57',False,False,True,57.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
17/11/22,7,away,3435,3510,1:2,4,FS,played,0,0,0,17/11/22 | FS | club:3435 | opponent:3510 | 1:2 | played | 23',False,False,True,23.0,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
27/09/22,6,away,3435,5750,0:0,4,FS,played,0,0,0,27/09/22 | FS | club:3435 | opponent:5750 | 0:0 | played | 84',False,False,True,84.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
23/09/22,5,away,3435,3505,2:0,,FS,in squad,0,0,0,23/09/22 | FS | club:3435 | opponent:3505 | 2:0 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
27/07/22,3,home,3435,3589,3:0,,EAFC,not in squad,0,0,0,27/07/22 | EAFC | club:3435 | opponent:3589 | 3:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
24/07/22,2,home,3435,5598,0:0,,EAFC,not in squad,0,0,0,24/07/22 | EAFC | club:3435 | opponent:5598 | 0:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
19/07/22,1,home,3435,15977,6:0,,EAFC,not in squad,0,0,0,19/07/22 | EAFC | club:3435 | opponent:15977 | 6:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/06/22,4,home,3435,3670,0:3,5,FS,played,0,0,1,14/06/22 | FS | club:3435 | opponent:3670 | 0:3 | played | 82',False,False,True,82.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/06/22,3,home,3435,3441,4:1,,FS,in squad,0,0,0,10/06/22 | FS | club:3435 | opponent:3441 | 4:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
06/06/22,2,home,3435,3439,0:1,5,FS,played,0,0,0,06/06/22 | FS | club:3435 | opponent:3439 | 0:1 | played | 81',False,False,True,81.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
02/06/22,36,home,3435,3581,4:1,,FS,in squad,0,0,0,02/06/22 | FS | club:3435 | opponent:3581 | 4:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
29/03/22,22,home,3435,8778,1:1,,WMQ1,in squad,0,0,0,29/03/22 | WMQ1 | club:3435 | opponent:8778 | 1:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
24/03/22,21,away,3435,3433,2:0,4,WMQ1,played,0,0,1,24/03/22 | WMQ1 | club:3435 | opponent:3433 | 2:0 | played | 64',False,False,True,64.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
01/02/22,20,home,3435,3807,2:0,4,WMQ1,played,0,0,0,01/02/22 | WMQ1 | club:3435 | opponent:3807 | 2:0 | played | 68',False,False,True,68.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
27/01/22,19,home,3435,5598,2:0,4,WMQ1,played,0,0,0,27/01/22 | WMQ1 | club:3435 | opponent:5598 | 2:0 | played | 58',False,False,True,58.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
16/11/21,18,away,3435,14165,1:0,4,WMQ1,played,0,0,0,16/11/21 | WMQ1 | club:3435 | opponent:14165 | 1:0 | played | 62',False,False,True,62.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
11/11/21,17,away,3435,8778,1:0,4,WMQ1,played,0,0,0,11/11/21 | WMQ1 | club:3435 | opponent:8778 | 1:0 | played | 63',False,False,True,63.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
12/10/21,16,home,3435,3433,2:1,4,WMQ1,played,0,0,0,12/10/21 | WMQ1 | club:3435 | opponent:3433 | 2:1 | played | 85',False,False,True,85.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
07/10/21,15,away,3435,3807,0:1,4,WMQ1,played,0,0,0,07/10/21 | WMQ1 | club:3435 | opponent:3807 | 0:1 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
07/09/21,14,away,3435,5598,1:0,4,WMQ1,played,0,0,0,07/09/21 | WMQ1 | club:3435 | opponent:5598 | 1:0 | played | 88',False,False,True,88.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
02/09/21,13,home,3435,14165,0:1,4,WMQ1,played,0,0,0,02/09/21 | WMQ1 | club:3435 | opponent:14165 | 0:1 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/06/21,12,home,3435,3956,5:1,,WMQ1,in squad,0,0,0,15/06/21 | WMQ1 | club:3435 | opponent:3956 | 5:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
11/06/21,44,home,3435,3438,1:0,4,FS,played,0,0,0,11/06/21 | FS | club:3435 | opponent:3438 | 1:0 | played | 82',False,False,True,82.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
07/06/21,11,home,3435,13975,4:1,,WMQ1,in squad,0,0,0,07/06/21 | WMQ1 | club:3435 | opponent:13975 | 4:1 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
28/05/21,9,home,3435,16423,10:0,4,WMQ1,played,0,2,0,28/05/21 | WMQ1 | club:3435 | opponent:16423 | 10:0 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
30/03/21,10,home,3435,15739,14:0,,WMQ1,injured,0,0,0,30/03/21 | WMQ1 | club:3435 | opponent:15739 | 14:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
25/03/21,42,home,3435,3589,3:0,,FS,injured,0,0,0,25/03/21 | FS | club:3435 | opponent:3589 | 3:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
17/11/20,11,away,3435,6303,0:2,,FS,in squad,0,0,0,17/11/20 | FS | club:3435 | opponent:6303 | 0:2 | in squad,False,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
13/11/20,11,away,3435,3577,1:0,9,FS,played,0,0,0,13/11/20 | FS | club:3435 | opponent:3577 | 1:0 | played | 58',False,False,True,58.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
13/10/20,14,away,3435,3591,1:0,,FS,injured,0,0,0,13/10/20 | FS | club:3435 | opponent:3591 | 1:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
09/10/20,13,away,3435,3434,0:0,,FS,injured,0,0,0,09/10/20 | FS | club:3435 | opponent:3434 | 0:0 | injured,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
18/12/19,9,away,3435,3589,0:1,,EAFC,not in squad,0,0,0,18/12/19 | EAFC | club:3435 | opponent:3589 | 0:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/12/19,8,away,3435,15977,5:0,,EAFC,not in squad,0,0,0,14/12/19 | EAFC | club:3435 | opponent:15977 | 5:0 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/12/19,7,away,3435,5598,2:1,,EAFC,not in squad,0,0,0,10/12/19 | EAFC | club:3435 | opponent:5598 | 2:1 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
19/11/19,9,home,3435,3504,1:4,,FS,not in squad,0,0,0,19/11/19 | FS | club:3435 | opponent:3504 | 1:4 | not in squad,True,False,False,,False,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
14/11/19,7,away,3435,3956,2:0,4,WMQ1,played,0,0,0,14/11/19 | WMQ1 | club:3435 | opponent:3956 | 2:0 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
15/10/19,6,away,3435,13975,3:0,4,WMQ1,played,0,0,0,15/10/19 | WMQ1 | club:3435 | opponent:13975 | 3:0 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
10/10/19,5,home,3435,15739,6:0,4,WMQ1,played,1,0,0,10/10/19 | WMQ1 | club:3435 | opponent:15739 | 6:0 | played | 90',False,False,True,90.0,True,yuto_nagatomo__jpn,Yuto Nagatomo,JPN,DEF,79522,https://www.transfermarkt.de/yuto-nagatomo/nationalmannschaft/spieler/79522/verein_id/3435
